Species,SA01-040718,SA02-040718,SA03-040718,SA04-040718,SA05-040718,SA06-040718,SA07-040718,SA08-040718,SA09-040718,SA10-050718,SA11-050718,SA12-050718,SA13-050718,SA14-050718,SA15-050718,SA16-050718,SA17-050718,SA18-050718,SA19-060718,SA20-060718,SA21-060718,SA22-060718,SA23-060718,SA24-060718,SA25-060718,SA26-060718,SA27-060718,SA28-070718,SA29-070718,SA30-070718,SA31-070718,SA32-070718,SA33-070718,SA34-070718,SA35-070718,SA36-070718,SA37-080718,SA38-080718,SA39-080718,SA40-080718,SA41-080718,SA42-080718,SA43-080718,SA44-080718,SA45-080718,SA46-070718,SA47-070718,SA48-070718,SA49-070718,SA50-070718,SA51-070718,SA52-070718,SA53-070718,SA54-070718,SA55-180718,SA56-180718,SA57-180718,SA58-180718,SA59-180718,SA60-180718,SA61-180718,SA62-180718,SA63-180718,SA64-190718,SA65-190718,SA66-190718,SA67-190718,SA68-190718,SA69-190718,SA70-190718,SA71-190718,SA72-200718,SA73-200718,SA74-200718,SA75-200718,SA76-200718,SA77-200718,SA78-200718,SA79-200718,SA80-200718,SA81-200718,SA82-200718,SA83-210718,SA84-210718,SA85-210718,SA86-210718,SA87-210718,SA88-210718,SA89-210718,SA90-210718,SA91-210718,SA92-210718,SA93-210718,SA94-310718,SA95-310718,SA96-310718,SA97-310718,SA98-310718,SA99-310718,SA100-310718,SA101-310718,SA102-310718,SA103-010819,SA104-010819,SA105-010819,SA106-010819,SA107-010819,SA108-010819,SA109-010819,SA110-010819,SA111-010819,SA112-020818,SA113-020818,SA114-020818,SA115-020818,SA116-020818,SA117-020818,SA118-020818,SA119-020818,SA120-020818,SA121-020818,SA122-020818,SA123-030818,SA124-030818,SA125-030818,SA126-030818,SA127-030818,SA128-030818,SA129-030818,SA130-030818,SA131-030818,SA132-040818,SA133-040818,SA134-040818,SA135-040818,SA136-040818,SA137-040818,SA138-040818,SA139-040818,SA140-040818,SA195-290818,SA196-290818,SA197-290818,SA198-290818,SA199-290818,SA200-290818,SA201-290818,SA202-290818,SA203-290818,SA204-300818,SA205-300818,SA206-300818,SA207-300818,SA208-300818,SA209-300818,SA210-300818,SA211-300818,SA212-300818,SA213-310818,SA214-310818,SA215-310818,SA216-310818,SA217-310818,SA218-310818,SA219-310818,SA220-310818,SA221-310818,SA222-010918,SA223-010918,SA224-010918,SA225-010918,SA226-010918,SA227-010918,SA228-010918,SA229-010918,SA230-010918,SA01-120819,SA02-120819,SA03-120819,SA04-120819,SA05-120819,SA06-120819,SA07-130819,SA08-130819,SA09-130819,SA10-130819,SA11-130819,SA12-130819,SA13-130819,SA14-130819,SA15-130819,SA16-140819,SA17-140819,SA18-140819,SA19-140819,SA20-140819,SA21-140819,SA22-140819,SA23-140819,SA24-140819,SA25-150819,SA26-150819,SA27-150819,SA28-150819,SA29-150819,SA30-150819,SA31-150819,SA32-150819,SA33-150819,SA34-160819,SA35-160819,SA36-160819,SA37-160819,SA38-160819,SA39-160819,SA40-160819,SA41-160819,SA42-160819,SA43-190819,SA44-190819,SA45-190819,SA46-190819,SA47-190819,SA48-190819,SA49-190819,SA50-190819,SA51-190819,SA52-200819,SA53-200819,SA54-200819,SA55-200819,SA56-200819,SA57-200819,SA58-200819,SA59-200819,SA60-200819,SA61-210819,SA62-210819,SA63-210819,SA64-210819,SA65-210819,SA66-210819,SA67-210819,SA68-210819,SA69-210819,SA70-250819,SA71-250819,SA72-250819,SA73-250819,SA74-250819,SA75-250819,SA76-250819,SA77-250819,SA78-250819,SA79-260819,SA80-260819,SA81-260819,SA82-260819,SA83-260819,SA84-260819,SA85-260819,SA86-260819,SA87-260819,SA88-010919,SA89-010919,SA90-010919,SA91-010919,SA92-010919,SA93-010919,SA94-010919,SA96-020919,SA97-020919,SA98-020919,SA99-020919,SA100-020919,SA101-020919,SA102-020919,SA103-030919,SA104-030919,SA105-030919,SA106-030919,SA107-030919,SA108-030919,SA109-030919,SA110-030919,SA111-050919,SA112-050919,SA113-050919,SA114-050919,SA115-050919,SA116-050919,SA117-050919,SA118-050919,SA119-050919,SA120-060919,SA121-060919,SA122-060919,SA123-060919,SA124-060919,SA125-060919,SA126-060919,SA127-060919,SA128-060919,SA.C1.040613.1b,SA.C2.040613.2,SA.C5.050613.3,SA.C5.050613.4,SA.C1.070613.1,SA.C2.150713.F1.1,SA.C5.150713.F3.2,SA.C5.150713.F1.3,SA.C3.150713.F1.4,SA.C5.150713.F3.5,SA.C2.150713.F1.6,SA.C6.160713.F3.1,SA.C7.160713.F1.2,SA.C6.160713.F3.3,SA.C7.160713.F1.4,SA.C3.160713.F1.5,SA.C2.160713.F1.6,SA.C5.180713.F1.1,SA.C5.180713.F3.2,SA.C5.180713.F1.3,SA.C4.180713.F3.4,SA.C4.180713.F1.5,SA.C1.180713.F1.6,SA.C1.180713.F3.7,SA.C1.180713.F1.8,SA.C3.5.310713.F2.1,SA.C4.310713.F3.2,SA.C3.310713.F2.3,SA.C5.310713.F3.4,SA.HI.310713.F3.5,SA.HI.310713.F2.6,SA.C5.120813.F1.1,SA.C5.6.120813.F3.2,SA.C5.120813.F1.3,SA.C6.120813.F3.4,SA.C6.120813.F1.5,SA.HI.130813.F1.1,SA.C1.130813.F3.2,SA.HI.130813.F1.3,SA.N.C1.130813.F3.4,SA.C1.130813.F1.5,SA.N.C1.130813.F3.6,SA.C1.130813.F1.7,SA.C2.130813.F3.8,SA.C7.260813.F1.1,SA.C7.260813.F3.2,SA.C6.7.260813.F3.3,SA.C6.260813.F1.4,SA.C5.6.260813.F1.5,SA.C5.260813.F3.6,SA.C4.260813.F1.7,SA.C2.260813.F3.8,SA.C7.250913.F1.1,SA.C7.250913.F3.1,SA.C6.7.250913.F3.2,SA.C6.250913.F1.2,SA.C6.250913.F1.3,SA.C5.6.250913.F3.3,SA.F1.300614.C4.1,SA.F3.300614.C4.2,SA.F2.300614.C4.3,SA.F1.300614.C4.4,SA.F3.300614.C4.5,SA.F2.300614.C4.6,SA.F2.010714.C3.1,SA.F3.010714.C3.2,SA.F1.010714.C3.3,SA.F2.010714.C3.4,SA.F3.010714.C3.5,SA.F1.010714.C3.6,SA.F1.010714.C3.7,SA.F3.010714.C3.8,SA.F2.010714.C3.9,SA.F1.010714.C3.10,SA.F3.010714.C3.11,SA.F2.010714.C3.12,SA.F2.030714.C1.1,SA.F1.030714.C1.2,SA.F3.030714.C1.3,SA.F2.030714.C1.4,SA.F1.030714.C1.5,SA.F3.030714.C1.6,SA.F3.030714.C1.7,SA.F2.030714.C1.9,SA.F3.030714.C1.10,SA.F1.030714.C1.11,SA.F2.030714.C1.12,SA.F2.070714.C2.1,SA.F1.070714.C2.2,SA.F3.070714.C2.3,SA.F2.070714.C2.4,SA.F1.070714.C2.5,SA.F3.070714.C2.6,SA.F3.070714.C2.7,SA.F1.070714.C2.8,SA.F2.070714.C2.9,SA.F2.070714.C1.10,SA.F1.070714.C1.11,SA.F3.070714.C1.12,SA.F1.280714.C4.1,SA.F2.280714.C4.2,SA.F3.280714.C4.3,SA.F3.280714.C4.4,SA.F2.280714.C4.5,SA.F1.280714.C4.6,SA.F1.280714.C4.7,SA.F2.280714.C4.8,SA.F3.280714.C3.9,SA.F3.280714.C3.10,SA.F2.280714.C3.11,SA.F1.280714.C3.12,SA.F1.290714.C2.1,SA.F2.290714.C2.2,SA.F3.290714.C2.3,SA.F3.290714.C2.4,SA.F2.290714.C2.5,SA.F1.290714.C2.6,SA.F1.290714.C2.7,SA.F2.290714.C2.8,SA.F3.290714.C2.9,SA.F1.290714.C2.10,SA.F2.290714.C2.11,SA.F3.290714.C2.12,SA.F2.310714.C3.1,SA.F3.310714.C3.2,SA.F1.310714.C3.3,SA.F1.310714.C3.4,SA.F3.310714.C3.5,SA.F2.310714.C3.6,SA.F1.310714.C3.7,SA.F3.310714.C3.8,SA.F2.310714.C3.9,SA.F2.310714.C2.10,SA.F1.310714.C2.11,SA.F3.310714.C2.12,SA.F2.010814.C1.1,SA.F3.010814.C1.2,SA.F1.010814.C1.3,SA.F2.010814.C1.4,SA.F3.010814.C1.5,SA.F1.010814.C1.6,SA.F2.010814.C1.7,SA.F3.010814.C1.8,SA.F1.010814.C1.9,SA.F2.010814.C1.10,SA.F3.010814.C1.11,SA.F1.010814.C1.12,SA.F1.260814.C1.1,SA.F2.260814.C1.2,SA.F3.260814.C1.3,SA.F3.260814.C1.4,SA.F2.260814.C1.5,SA.F1.260814.C1.6,SA.F1.260814.C1.7,SA.F2.260814.C1.8,SA.F3.260814.C1.9,SA.F3.260814.C1.10,SA.F1.260814.C1.11,SA.F2.260814.C1.12,SA.F2.270814.C2.1,SA.F3.270814.C2.2,SA.F1.270814.C2.3,SA.F1.270814.C2.4,SA.F3.270814.C2.5,SA.F2.270814.C2.6,SA.F2.270814.C2.7,SA.F1.270814.C2.8,SA.F3.270814.C2.9,SA.F3.270814.C2.10,SA.F2.270814.C2.11,SA.F1.270814.C2.12,SA.F1.010914.C4.1,SA.F2.010914.C4.2,SA.F3.010914.C4.3,SA.F3.010914.C4.4,SA.F2.010914.C4.5,SA.F1.010914.C4.6,SA.F3.010914.C4.7,SA.F1.010914.C4.8,SA.F2.010914.C4.9,SA.F2.010914.C4.10,SA.F1.010914.C3.11,SA.F3.020914.C3.1,SA.F1.020914.C3.2,SA.F2.020914.C3.3,SA.F2.020914.C3.4,SA.F3.020914.C3.5,SA.F1.020914.C3.6,SA.F1.020914.C3.7,SA.F2.020914.C3.8,SA.F3.020914.C3.9,SA.F3.020914.C3.10,SA.F1.020914.C3.11,SA.F2.020914.C3.12,SA.F2.150914.C3.1,SA.F3.150914.C3.2,SA.F1.150914.C3.3,SA.F1.150914.C4.4,SA.F2.150914.C4.5,SA.F3.150914.C4.6,SA.F3.150914.C4.7,SA.F1.150914.C4.8,SA.F2.150914.C4.9,SA.F2.150914.C3.10,SA.F3.150914.C3.11,SA.F1.150914.C3.12,SA.F1.160914.C4.1,SA.F2.160914.C4.2,SA.F3.160914.C4.3,SA.F3.160914.C4.4,SA.F2.160914.C4.5,SA.F1.160914.C4.6,SA.F1.160914.C4.7,SA.F3.160914.C4.8,SA.F2.160914.C4.9,SA.F2.160914.C4.10,SA.F3.160914.C4.11,SA.F1.160914.C4.12,SA.F3.170914.C2.1,SA.F2.170914.C2.2,SA_F1_170914_C2_3,SA.F3.170914.C2.4,SA.F2.170914.C2.5,SA.F1.170914.C2.7,SA.F3.170914.C2.8,SA.F2.170914.C2.9,SA.F2.170914.C2.10,SA.F3.170914.C2.11,SA.F1.170914.C2.12,SA.F1.180914.C1.1,SA.F2.180914.C1.2,SA.F3.180914.C1.3,SA.F3.180914.C1.4,SA.F1.180914.C1.5,SA.F2.180914.C1.6,SA.F2.180914.C1.7,SA.F3.180914.C1.8,SA_F1_180914_C1_9,SA.F1.180914.C1.10,SA.F2.180914.C1.11,SA.F3.180914.C1.12
Whiting (Merlangius merlangus),2,3,9,0,1,0,0,0,0,1,0,1,0,0,1,10,3,1,2,0,0,0,2,0,0,0,0,0,1,0,2,1,0,1,7,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,5,0,1,1,0,1,0,0,0,0,1,3,0,0,6,9,0,3,1,0,1,2,1,0,1,3,1,2,1,6,2,1,0,3,7,0,5,1,0,2,2,6,5,6,1,5,0,0,1,3,0,8,3,4,1,3,8,2,4,8,1,0,0,0,0,0,2,17,11,6,1,10,0,0,0,2,0,0,5,0,0,0,2,2,0,1,6,0,4,2,0,0,3,0,0,2,0,2,0,0,4,3,0,5,7,0,5,13,0,0,1,0,0,7,0,0,4,0,0,2,0,0,4,0,0,8,0,1,0,0,0,15,0,4,2,0,0,15,0,22,8,2,0,0,1,0,0,8,0,0,0,0,3,0,12,1,0,13,2,0,0,5,0,2,9,12,5,13,0,0,2,0,0,5,0,22,4,0,11,3,0,3,10,0,0,9,0,0,0,0,2,8,0,0,3,0,0,8,0,0,0,0,0,4,0,0,6,0,0,9,0,0,6,0,4,4,0,4,1,0,7,13,11,0,1,17,0,0,2,0,0,4,1,0,1,0,0,0,0,1,2,0,0,2,0,0,16,0,0,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,2,3,0,0,1,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3,1,2,2,0,3,2,1,1,1,2,6,0,0,4,1,0,2,4,0,0,0,0,0,0,1,0,5,0,1,5,0,0,5,2,2,0,0,2,0,0,0,0,0,3,8,5,3,0,8,3,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,7,1,4,4,0,3,13,1,3,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,0,0,0,2,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,80,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6,0,5,0,2,2,0,0,0,3,0,2,0,0,0,3,0,6,0,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,17,0,1,1,0
Cod (Gadus morhua),0,0,10,1,7,10,12,2,6,6,0,2,5,0,1,1,0,1,0,0,1,2,1,1,0,2,1,2,1,2,0,3,0,0,0,1,1,0,1,1,0,0,3,0,0,2,0,0,3,0,0,0,5,0,0,0,10,0,1,2,0,0,5,0,0,0,5,5,0,1,0,3,0,9,1,0,2,0,1,8,2,2,4,1,0,3,1,0,4,1,0,1,0,0,2,0,2,7,0,1,3,0,0,3,0,0,0,1,0,2,2,5,5,1,1,1,0,1,0,3,3,1,1,7,3,0,2,1,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,4,4,2,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,4,0,0,1,0,1,1,0,1,1,0,0,3,1,2,1,1,7,1,0,2,0,0,0,0,5,0,2,0,0,2,1,0,0,0,3,0,0,0,1,0,1,2,0,2,0,0,1,0,0,0,2,0,7,3,0,0,1,0,1,0,0,2,0,0,2,0,0,2,2,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1,0,1,2,0,2,1,0,2,0,0,0,0,0,0,0,0,3,1,0,9,1,0,0,2,0,0,0,0,0,0,1,0,0,0,18,12,7,33,5,13,0,8,0,22,2,8,22,10,12,4,3,3,2,5,27,16,2,2,1,0,0,4,6,0,0,11,6,8,1,1,2,1,3,1,1,2,5,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22,0,1,0,7,0,6,4,0,1,1,5,0,0,1,0,1,2,11,0,9,1,0,0,92,0,49,2,0,16,4,0,17,0,0,0,1,1,0,0,0,1,3,1,21,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,2,2,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,0,7,2,0,0,0,0,1,2,1,13,1,2,0,0,1
Haddock (Melanogrammus aeglefinus),1,1,0,1,1,0,2,1,0,0,2,4,0,0,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,4,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,0,1,1,0,0,4,1,0,0,0,0,0,5,1,0,7,2,9,3,4,1,2,9,0,0,1,0,1,1,0,1,1,0,3,7,0,1,10,0,0,3,0,1,1,3,2,3,7,8,1,4,0,0,1,1,0,3,0,3,1,2,4,2,1,0,0,1,1,0,1,0,0,0,1,3,0,0,2,0,4,2,0,7,2,0,0,1,0,0,0,0,4,0,0,2,1,0,0,2,0,0,4,0,0,5,0,0,8,0,0,1,0,0,1,0,0,1,0,6,1,0,0,2,0,7,1,0,0,1,0,7,1,1,0,0,2,0,0,1,0,0,0,0,1,0,2,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,4,1,0,3,0,0,2,1,0,4,2,0,10,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,2,1,1,0,2,1,0,0,1,0,6,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,8,0,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,3,1,0,0,5,0,1,5,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,7,11,6,2,1,0,1,0,1,0,5,1,0,3,15,2,6,1,2,9,0,2,4,4,3,6,0,3,1,0,4,0,1,2,2,2,3,0,0,2,0,5,0,0,0,4,0,0,0,0,2,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,3,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,2,1,0,0,4,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,5,5,0,0,0,0,2,0,1,2,1
Goldsinny (Ctenolabrus rupestris),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,3,1,0,2,2,0,1,2,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,2,2,0,1,4,0,2,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,1,0,0,0,4,3,1,3,0,0,0,0,2,3,1,0,2,4,2,4,2,5,2,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Cuckcoo Wrasse (Labrus mixtus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballan wrasse (Labrus bergylta),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock cook (Centrolabrus exoletus),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
