Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.C5.120813.F1.3,12/08/2013,224,2013,August,Late,55.4324,-5.243567,4,1,2,3,Algae,10,10:22,11:25,01:03:00,3780,0.88,0,0,0,0,0,0.116167143,637.9085395,1
SA.C5.150713.F1.3,15/07/2013,196,2013,July,Early,55.4302,-5.217483,4,1,1,1,Algae,12.8,11:12,12:13,01:01:00,3660,0.49,0,0,0,0,0,0.114724062,554.0804564,1
SA.C5.150713.F3.2,15/07/2013,196,2013,July,Early,55.4354167,-5.249533,4,3,1,3,Algae,8.5,10:26,11:28,01:02:00,3720,0.89,0,0,0,0,0,0.120456807,371.1821915,1
SA.C5.150713.F3.5,15/07/2013,196,2013,July,Early,55.4351,-5.275117,4,3,3,2,Gravel,10.7,12:55,14:02,01:07:00,4020,0.23,0,0.57,0,0,0,0.088225015,1333.598462,2
SA.C5.180713.F1.1,18/07/2013,199,2013,July,Early,55.42445,-5.185283,4,1,2,2,Sand,29.1,08:53,09:57,01:04:00,3840,0.02,0.11,0,0.62,0,0,0.184036508,1035.81307,3
SA.C5.180713.F1.3,18/07/2013,199,2013,July,Early,55.4301,-5.185233,4,1,2,2,Algae,9.3,10:08,11:09,01:01:00,3660,0.72,0,0,0,0,0,0.190188378,408.0803997,1
SA.C5.180713.F3.2,18/07/2013,199,2013,July,Early,55.4280167,-5.223917,4,3,3,2,Pebble,19.5,09:16,10:23,01:07:00,4020,0,0.32,0.19,0.12,0,0,0.11363104,906.0817847,3
SA.C5.260813.F3.6,26/08/2013,238,2013,August,Late,55.4309333,-5.23375,4,3,2,3,Algae,11.6,11:49,13:05,01:16:00,4560,0.83,0,0,0,0,0,0.120621808,715.6823817,1
SA.C5.310713.F3.4,31/07/2013,212,2013,July,Early,55.4269833,-5.1916,4,3,3,3,Pebble,18.1,10:05,11:05,01:00:00,3600,0.21,0.29,0.24,0.04,0,0,0.181609407,753.2785936,4
SA.C5.6.120813.F3.2,12/08/2013,224,2013,August,Late,55.4354,-5.274667,4,3,1,3,Algae,14,09:19,10:19,01:00:00,3600,0.87,0,0.04,0,0,0,0.088225015,1290.083309,2
SA.C5.6.250913.F3.3,25/09/2013,268,2013,September,Late,55.4391333,-5.2807,4,3,2,3,Algae,13.8,12:03,13:04,01:01:00,3660,0.81,0.12,0,0,0,0,0.08213082,1174.64197,2
SA.C5.6.260813.F1.5,26/08/2013,238,2013,August,Late,55.4337,-5.260967,4,1,2,1,Algae,11,11:38,12:38,01:00:00,3600,0.3,0,0,0,0,0,0.109577239,846.1458773,1
SA.C6.120813.F1.5,12/08/2013,224,2013,August,Late,55.45035,-5.3108,5,1,2,1,Algae,10,12:02,13:21,01:19:00,4740,0.69,0,0,0,0,0,0.141195342,1188.322496,1
SA.C6.120813.F3.4,12/08/2013,224,2013,August,Late,55.4484,-5.30305,5,3,2,3,Algae,10.4,10:49,12:05,01:16:00,4560,0.93,0,0,0,0,0,0.127134845,981.5918736,1
SA.C6.160713.F3.1,16/07/2013,197,2013,July,Early,55.4480833,-5.303683,5,3,2,2,Algae,9.7,09:28,10:32,01:04:00,3840,0.85,0,0,0,0,0,0.135430083,1034.091646,1
SA.C6.160713.F3.3,16/07/2013,197,2013,July,Early,55.4487,-5.317783,5,3,3,2,Algae,15.4,10:39,12:26,01:47:00,6420,0.59,0,0.24,0,0,0,0.144346431,1563.436317,2
SA.C6.250913.F1.2,25/09/2013,268,2013,September,Late,55.44805,-5.322867,5,1,3,3,Gravel,19.6,10:31,11:38,01:07:00,4020,0,0,0.73,0,0,0,0.143319592,1753.257758,1
SA.C6.250913.F1.3,25/09/2013,268,2013,September,Late,55.44315,-5.3031,5,1,2,3,Algae,13.8,11:52,12:56,01:04:00,3840,0.63,0.22,0.03,0,0,0,0.107138783,1375.941354,3
SA.C6.260813.F1.4,26/08/2013,238,2013,August,Late,55.4451333,-5.326467,5,1,2,3,Algae,16,10:13,11:17,01:04:00,3840,0.77,0.03,0,0.02,0,0,0.138685867,2146.682557,3
SA.C6.7.250913.F3.2,25/09/2013,268,2013,September,Late,55.4699167,-5.32905,5,3,2,3,Algae,11.7,10:21,11:23,01:02:00,3720,0.81,0.12,0,0,0,0,0.149199933,567.0912385,2
SA.C6.7.260813.F3.3,26/08/2013,238,2013,August,Late,55.4694167,-5.329867,5,3,2,3,Algae,12,09:59,11:03,01:04:00,3840,0.82,0,0,0,0,0,0.149199933,630.7015416,1
SA.C7.160713.F1.2,16/07/2013,197,2013,July,Early,55.4954333,-5.348767,5,1,3,3,Gravel,15.4,09:51,10:58,01:07:00,4020,0,0.12,0.76,0,0,0,0.147283375,981.4419722,2
SA.C7.160713.F1.4,16/07/2013,197,2013,July,Early,55.4819167,-5.343067,5,1,3,3,Gravel,14.4,11:09,12:12,01:03:00,3780,0.03,0.12,0.73,0,0,0,0.128730685,1045.96244,3
SA.C7.250913.F1.1,25/09/2013,268,2013,September,Late,55.48185,-5.34295,5,1,3,2,Gravel,14.7,08:53,09:54,01:01:00,3660,0.06,0.15,0.5,0,0,0,0.128730685,1040.462516,3
SA.C7.250913.F3.1,25/09/2013,268,2013,September,Late,55.4962,-5.345833,5,3,2,3,Algae,11.8,09:06,10:07,01:01:00,3660,0.68,0.06,0.1,0,0,0,0.128688142,787.0071946,3
SA.C7.260813.F1.1,26/08/2013,238,2013,August,Late,55.5050333,-5.357783,5,1,2,2,Algae,10.6,08:03,09:33,01:30:00,5400,0.74,0,0,0,0,0,0.203581989,114.7905447,1
